Name_Chinese,Id,Number of investment events,URL,Name_English
泽厚资本,1393986,61,https://data.cyzone.cn/capital/1393986.html,Zehou Capital
策源创投,1393269,61,https://data.cyzone.cn/capital/1393269.html,Ce Yuan
盈动资本,1510218,61,https://data.cyzone.cn/capital/1510218.html,Profit Capital
元禾原点,1394781,61,https://data.cyzone.cn/capital/1394781.html,Oriza
苏州高新创投,1401878,61,https://data.cyzone.cn/capital/1401878.html,Suzhou High-tech Venture Capital
华平投资,1396059,61,https://data.cyzone.cn/capital/1396059.html,Warburg Pincus Investment
中欧基金,3262829,60,https://data.cyzone.cn/capital/3262829.html,China Europe Fund
复星锐正资本,1393643,60,https://data.cyzone.cn/capital/1393643.html,Fosun Ruizheng
明势资本,1393449,59,https://data.cyzone.cn/capital/1393449.html,Future
光速中国,1393242,59,https://data.cyzone.cn/capital/1393242.html,Light Speed
清科创投,3600114,59,https://data.cyzone.cn/capital/3600114.html,Zero2IPO
中关村发展集团,3536155,59,https://data.cyzone.cn/capital/3536155.html,Zhongguancun Development Group
如山资本,1395808,59,https://data.cyzone.cn/capital/1395808.html,Rushan
盛大集团,1166501,58,https://data.cyzone.cn/capital/1166501.html,Shanda Group
远致投资,3007147,57,https://data.cyzone.cn/capital/3007147.html,Yuanzhi Investment
红星美凯龙,1183485,57,https://data.cyzone.cn/capital/1183485.html,Red Star Macalline
头头是道投资基金,3020011,57,https://data.cyzone.cn/capital/3020011.html,Daotou Investment Fund
国信证券,3532908,57,https://data.cyzone.cn/capital/3532908.html,Guosen
天使投资人薛蛮子,3019771,56,https://data.cyzone.cn/capital/3019771.html,Charles Xue
国科投资,1401406,56,https://data.cyzone.cn/capital/1401406.html,Guoke Investment
高特佳,1393338,56,https://data.cyzone.cn/capital/1393338.html,Gao Tejia
盛景嘉成,1398231,55,https://data.cyzone.cn/capital/1398231.html,Sheng Jing
云锋基金,1393477,55,https://data.cyzone.cn/capital/1393477.html,Yun Feng
新进创投,1407908,55,https://data.cyzone.cn/capital/1407908.html,New Venture Capital
广州基金,1397914,54,https://data.cyzone.cn/capital/1397914.html,Guangzhou Fund
常春藤资本,1393474,54,https://data.cyzone.cn/capital/1393474.html,Ivy
复星集团,3010815,54,https://data.cyzone.cn/capital/3010815.html,Fosun Group
达泰资本,1393531,54,https://data.cyzone.cn/capital/1393531.html,Datai Capital
集素资本,1394843,54,https://data.cyzone.cn/capital/1394843.html,Jisu Capital
海尔资本,3005529,53,https://data.cyzone.cn/capital/3005529.html,Haier Capital
隆领投资,3536857,53,https://data.cyzone.cn/capital/3536857.html,Longling Investment
中国信达,3247180,52,https://data.cyzone.cn/capital/3247180.html,China Cinda
成都高投,1401101,51,https://data.cyzone.cn/capital/1401101.html,Chengdu High Investment
中信产业基金,1396532,51,https://data.cyzone.cn/capital/1396532.html,CITIC Industry Fund
合肥创投,1403316,51,https://data.cyzone.cn/capital/1403316.html,Hefei Venture Capital
中国长城资产,1188369,51,https://data.cyzone.cn/capital/1188369.html,China Great Wall Assets
长安信托,3306382,51,https://data.cyzone.cn/capital/3306382.html,Changan Trust
泰有基金,3019567,50,https://data.cyzone.cn/capital/3019567.html,Thai Fund
鲁信创投,3277379,50,https://data.cyzone.cn/capital/3277379.html,Luxin Ventures
线性资本,1393345,50,https://data.cyzone.cn/capital/1393345.html,Linear
暾澜投资,1394063,50,https://data.cyzone.cn/capital/1394063.html,Tunlan Investment
浙数文化,1403212,49,https://data.cyzone.cn/capital/1403212.html,Zhejiang Culture
蓝色光标,1171101,49,https://data.cyzone.cn/capital/1171101.html,Blue cursor
元璟资本,1394683,49,https://data.cyzone.cn/capital/1394683.html,Vision
成为资本,1393442,49,https://data.cyzone.cn/capital/1393442.html,Chengwei
五岳资本,1393691,49,https://data.cyzone.cn/capital/1393691.html,Wuyue Capital
国科嘉和,1394153,48,https://data.cyzone.cn/capital/1394153.html,Guoke Jiahe
中兴创投,1397158,48,https://data.cyzone.cn/capital/1397158.html,ZTE Venture Capital
华耀资本,1394951,48,https://data.cyzone.cn/capital/1394951.html,Huayao Capital
星辉互动娱乐,3021676,48,https://data.cyzone.cn/capital/3021676.html,Xinghui Interactive Entertainment
金茂投资,3536499,48,https://data.cyzone.cn/capital/3536499.html,Jin Mao Investment
极客帮创投,1394565,48,https://data.cyzone.cn/capital/1394565.html,Geek Help Venture Capital
贝塔斯曼亚洲投资基金,1395890,48,https://data.cyzone.cn/capital/1395890.html,BAI
高新创投,1395269,48,https://data.cyzone.cn/capital/1395269.html,High-tech Venture Capital
鼎锋资产,1399619,47,https://data.cyzone.cn/capital/1399619.html,Dingfeng Assets
易一天使,1393833,47,https://data.cyzone.cn/capital/1393833.html,Yi Tianzhi
哔哩哔哩,1194818,47,https://data.cyzone.cn/capital/1194818.html,Bilibili
微影资本,1395472,46,https://data.cyzone.cn/capital/1395472.html,Weiying Capital
广发证券,3234855,46,https://data.cyzone.cn/capital/3234855.html,GF Securities
光大控股,1399418,46,https://data.cyzone.cn/capital/1399418.html,Everbright Holdings
字节跳动,1137979,46,https://data.cyzone.cn/capital/1137979.html,Byte beating
光线传媒,1394590,46,https://data.cyzone.cn/capital/1394590.html,Light Media
国发创投,1400322,45,https://data.cyzone.cn/capital/1400322.html,State Development Ventures
复星医药,1135856,45,https://data.cyzone.cn/capital/1135856.html,Fosun Pharma
紫辉创投,1394587,45,https://data.cyzone.cn/capital/1394587.html,Zihui Venture Capital
泰岳梧桐资本,1394562,45,https://data.cyzone.cn/capital/1394562.html,Taiyue Wutong Capital
心元资本,1393430,44,https://data.cyzone.cn/capital/1393430.html,Heart Capital
信天创投,1393523,44,https://data.cyzone.cn/capital/1393523.html,Xintian Venture Capital
帮实资本,1394674,44,https://data.cyzone.cn/capital/1394674.html,Help capital
深圳高新投,1402325,44,https://data.cyzone.cn/capital/1402325.html,Shenzhen High-tech Investment
磐谷创投,1393724,44,https://data.cyzone.cn/capital/1393724.html,Iwagu Ventures
弘道资本,1395624,43,https://data.cyzone.cn/capital/1395624.html,Hongdao Capital
天九投资,3019687,43,https://data.cyzone.cn/capital/3019687.html,Tianjiu Investment
盈科资本,1398704,43,https://data.cyzone.cn/capital/1398704.html,Yingke Capital
凯风创投,1395671,43,https://data.cyzone.cn/capital/1395671.html,Kaifeng Ventures
春晓资本（停止运营）,1393683,43,https://data.cyzone.cn/capital/1393683.html,Chunxiao Capital (stopped operations)
唯猎资本,1396642,43,https://data.cyzone.cn/capital/1396642.html,Only Hunting Capital
蓝象资本,1394617,43,https://data.cyzone.cn/capital/1394617.html,Blue Elephant Capital
聚秀资本,1394836,43,https://data.cyzone.cn/capital/1394836.html,Juxiu Capital
安芙兰资本,1393792,43,https://data.cyzone.cn/capital/1393792.html,Amphora Capital
招商证券,1400569,42,https://data.cyzone.cn/capital/1400569.html,China Merchants Securities
上海创丰创业投资管理有限公司,1393469,41,https://data.cyzone.cn/capital/1393469.html,"Shanghai Chuangfeng Venture Capital Management Co., Ltd."
盛世景,3536668,41,https://data.cyzone.cn/capital/3536668.html,Sheng Shijing
伽利略资本,1401030,41,https://data.cyzone.cn/capital/1401030.html,Galileo Capital
英特尔资本,1393228,41,https://data.cyzone.cn/capital/1393228.html,Intel Capital
TCL创投,1401488,41,https://data.cyzone.cn/capital/1401488.html,TCL Venture Capital
中泰证券,1180965,40,https://data.cyzone.cn/capital/1180965.html,Zhongtai Securities
银江智慧产业基金,1395283,39,https://data.cyzone.cn/capital/1395283.html,Yinjiang Smart Industry Fund
中航信托,1398118,39,https://data.cyzone.cn/capital/1398118.html,AVIC Trust
东北证券,3235252,39,https://data.cyzone.cn/capital/3235252.html,Northeast Securities
硅谷天堂,1403059,39,https://data.cyzone.cn/capital/1403059.html,Silicon Valley Paradise
招银国际资本,1404731,39,https://data.cyzone.cn/capital/1404731.html,CMB International Capital
亚商资本,1393554,39,https://data.cyzone.cn/capital/1393554.html,Asia Business Capital
熊猫资本,1393486,39,https://data.cyzone.cn/capital/1393486.html,Panda Capital
力鼎投资,1393660,38,https://data.cyzone.cn/capital/1393660.html,Liding Investment
清研资本,1399818,38,https://data.cyzone.cn/capital/1399818.html,Qingyan Capital
国富源投资,1393545,38,https://data.cyzone.cn/capital/1393545.html,Guofuyuan Investment
携程,1564713,38,https://data.cyzone.cn/capital/1564713.html,Ctrip
赛马资本,1393495,38,https://data.cyzone.cn/capital/1393495.html,Horse Racing Capital
海丰至诚,1401620,38,https://data.cyzone.cn/capital/1401620.html,SITC sincere
金沙江联合资本,3014888,38,https://data.cyzone.cn/capital/3014888.html,Sands River United Capital
58同城,3005682,38,https://data.cyzone.cn/capital/3005682.html,58 City
优势资本,1393297,38,https://data.cyzone.cn/capital/1393297.html,Advantage capital
前海母基金,1395704,38,https://data.cyzone.cn/capital/1395704.html,Qian Hai FoF
祥峰投资,1393326,38,https://data.cyzone.cn/capital/1393326.html,Vertex
紫光集团,1131889,37,https://data.cyzone.cn/capital/1131889.html,Ziguang Group
富坤创投,3010876,37,https://data.cyzone.cn/capital/3010876.html,Fortune Ventures
小村资本,1393524,37,https://data.cyzone.cn/capital/1393524.html,Small village capital
天风证券,1192027,37,https://data.cyzone.cn/capital/1192027.html,Tianfeng Securities
道生投资,1394681,37,https://data.cyzone.cn/capital/1394681.html,Daosheng Investment
奥飞娱乐,3006424,37,https://data.cyzone.cn/capital/3006424.html,Aofei Entertainment
中国宝武,3008187,37,https://data.cyzone.cn/capital/3008187.html,China Baowu
国信弘盛,1400711,37,https://data.cyzone.cn/capital/1400711.html,Guoxin Hongsheng
孝昌水木投资,3020910,37,https://data.cyzone.cn/capital/3020910.html,Xiaochang Shuimu Investment
凯鹏华盈,3006160,37,https://data.cyzone.cn/capital/3006160.html,Kai Peng Huaying
海航资本,1394897,36,https://data.cyzone.cn/capital/1394897.html,HNA Capital
华瓯创投,1393561,36,https://data.cyzone.cn/capital/1393561.html,Huaou Venture Capital
长江国弘投资,1393509,36,https://data.cyzone.cn/capital/1393509.html,Changjiang Guohong Investment
中信资本,3240091,36,https://data.cyzone.cn/capital/3240091.html,CITIC Capital
君盛投资,1396488,36,https://data.cyzone.cn/capital/1396488.html,Junsheng Investment
华兴创投,1402050,36,https://data.cyzone.cn/capital/1402050.html,Huaxing Venture Capital
劲邦资本,1399155,36,https://data.cyzone.cn/capital/1399155.html,Jinbang Capital
纽信创投,1393543,36,https://data.cyzone.cn/capital/1393543.html,Newson Ventures
星火金融,1394848,36,https://data.cyzone.cn/capital/1394848.html,Spark Finance
浩方创投,1395552,36,https://data.cyzone.cn/capital/1395552.html,Haofang Ventures
中国航天科工,3536166,36,https://data.cyzone.cn/capital/3536166.html,China Aerospace Science and Industry
天使汇,1136387,35,https://data.cyzone.cn/capital/1136387.html,Angel Exchange
点亮资本,1394896,35,https://data.cyzone.cn/capital/1394896.html,Light up capital
今日资本,3536489,35,https://data.cyzone.cn/capital/3536489.html,Capital Today
清流资本,1393351,35,https://data.cyzone.cn/capital/1393351.html,Clear Flow Capital
科发资本,1402013,35,https://data.cyzone.cn/capital/1402013.html,Kefa Capital
创势资本,1394640,35,https://data.cyzone.cn/capital/1394640.html,Venture Capital
上海联和投资,1395666,35,https://data.cyzone.cn/capital/1395666.html,Shanghai Union Investment
湖畔山南资本,1393800,35,https://data.cyzone.cn/capital/1393800.html,Shannan Capital
黑马基金,1393513,35,https://data.cyzone.cn/capital/1393513.html,Dark Horse Fund
光大银行,3235719,35,https://data.cyzone.cn/capital/3235719.html,Everbright Bank
领汇投资,1395547,35,https://data.cyzone.cn/capital/1395547.html,The Link Investment
广州证券,3107947,34,https://data.cyzone.cn/capital/3107947.html,Guangzhou Securities
中兴合创,1394536,34,https://data.cyzone.cn/capital/1394536.html,ZTE Corporation
众海投资,1393491,34,https://data.cyzone.cn/capital/1393491.html,Zhonghai Investment
十维资本,1400444,34,https://data.cyzone.cn/capital/1400444.html,Ten-dimensional Capital
张江火炬创投,1394861,34,https://data.cyzone.cn/capital/1394861.html,Zhangjiang Torch Venture Capital
广发乾和,1403371,34,https://data.cyzone.cn/capital/1403371.html,Guangfa Ganhe
浙科投资,3007642,34,https://data.cyzone.cn/capital/3007642.html,Zheke Investment
原子创投,1393549,34,https://data.cyzone.cn/capital/1393549.html,Atomic Ventures
建银国际,1410156,34,https://data.cyzone.cn/capital/1410156.html,CCB International
源星资本,1395731,34,https://data.cyzone.cn/capital/1395731.html,Origin Capital
寒武创投,1399798,34,https://data.cyzone.cn/capital/1399798.html,Cambrian Venture Capital
天创资本,1394826,34,https://data.cyzone.cn/capital/1394826.html,Tianchuang Capital
火山石资本,1395276,34,https://data.cyzone.cn/capital/1395276.html,Volcanics
弘晖资本,1393846,33,https://data.cyzone.cn/capital/1393846.html,Honghui Capital
安赐资产管理有限公司,1394842,33,https://data.cyzone.cn/capital/1394842.html,"Anci Asset Management Co., Ltd."
浙江金控资本,1398826,33,https://data.cyzone.cn/capital/1398826.html,Zhejiang Financial Holding Capital
中国华融,3219104,33,https://data.cyzone.cn/capital/3219104.html,China Huarong
乐视音乐,1160572,33,https://data.cyzone.cn/capital/1160572.html,LeTV Music
中融鼎新,1403383,33,https://data.cyzone.cn/capital/1403383.html,Zhongrong Dingxin
龙翌资本,1393433,33,https://data.cyzone.cn/capital/1393433.html,Long Yi Capital
清控科创控股,1395974,33,https://data.cyzone.cn/capital/1395974.html,Tsingkong Technology Innovation Holdings
长江证券,1163093,33,https://data.cyzone.cn/capital/1163093.html,Changjiang Securities
中原证券,3107535,33,https://data.cyzone.cn/capital/3107535.html,Centaline Securities
招商启航资本,1401872,33,https://data.cyzone.cn/capital/1401872.html,China Merchants Qihang Capital
磐石资本,1397145,33,https://data.cyzone.cn/capital/1397145.html,Rock Capital
游族网络,1185961,33,https://data.cyzone.cn/capital/1185961.html,Youzu Network
中汇金,1398044,33,https://data.cyzone.cn/capital/1398044.html,Zhonghuijin
昆仑万维,1136909,33,https://data.cyzone.cn/capital/1136909.html,Kunlun Wanwei
安徽省高新投,1404838,32,https://data.cyzone.cn/capital/1404838.html,Anhui High-tech Investment
朗科投资,1399942,32,https://data.cyzone.cn/capital/1399942.html,Netac Investment
杭州好望角投资管理有限公司,1394508,32,https://data.cyzone.cn/capital/1394508.html,"Hangzhou Cape of Good Hope Investment Management Co., Ltd."
中海投资,1408577,32,https://data.cyzone.cn/capital/1408577.html,China Overseas Investment
东方汇富,1395928,32,https://data.cyzone.cn/capital/1395928.html,Oriental Huifu
正轩投资,1393736,32,https://data.cyzone.cn/capital/1393736.html,Zhengxuan Investment
合一资本,1399126,32,https://data.cyzone.cn/capital/1399126.html,One Capital
零一创投,1394619,32,https://data.cyzone.cn/capital/1394619.html,Zero One Ventures
辰海资本,1409175,32,https://data.cyzone.cn/capital/1409175.html,Chenhai Capital
百度风投,3006448,32,https://data.cyzone.cn/capital/3006448.html,Baidu VC
天神娱乐,3019756,32,https://data.cyzone.cn/capital/3019756.html,Tenshin Entertainment
挑战者资本,1395730,32,https://data.cyzone.cn/capital/1395730.html,Challenger Capital
常州高新投,1399600,32,https://data.cyzone.cn/capital/1399600.html,Changzhou High-tech Investment
优客工场,1160314,32,https://data.cyzone.cn/capital/1160314.html,Youke Workshop
和盟创投,3142670,32,https://data.cyzone.cn/capital/3142670.html,Hemeng Ventures
泰达科投,1395575,32,https://data.cyzone.cn/capital/1395575.html,TEDA Tech
光信资本,1393471,32,https://data.cyzone.cn/capital/1393471.html,Guangxin Capital
天使投资人王刚,3019767,32,https://data.cyzone.cn/capital/3019767.html,Angel Investor Wang Gang
建信资本,1405093,32,https://data.cyzone.cn/capital/1405093.html,CCB Capital
西部资本,3536758,32,https://data.cyzone.cn/capital/3536758.html,West Capital
红点创投,1393244,31,https://data.cyzone.cn/capital/1393244.html,Red Dot
云启资本,1393357,31,https://data.cyzone.cn/capital/1393357.html,Yun Qi
嘉实资本,1399548,31,https://data.cyzone.cn/capital/1399548.html,Harvest Capital
创新谷Innovalley,1396005,31,https://data.cyzone.cn/capital/1396005.html,Innovation Valley Innovalley
易津资本,1401835,31,https://data.cyzone.cn/capital/1401835.html,Yijin Capital
温氏投资,1399236,31,https://data.cyzone.cn/capital/1399236.html,Wen's Investment
水木资本,1394797,31,https://data.cyzone.cn/capital/1394797.html,Mizuki Capital
海邦投资,3266332,31,https://data.cyzone.cn/capital/3266332.html,Haibang Investment
武岳峰资本,1393645,31,https://data.cyzone.cn/capital/1393645.html,Wuyuefeng Capital
翊翎资本,1395530,31,https://data.cyzone.cn/capital/1395530.html,Yi Ling Capital
浙江浙大友创投资管理有限公司,1394801,31,https://data.cyzone.cn/capital/1394801.html,"Zhejiang Zhejiang University Youchuang Investment Management Co., Ltd."
芳晟基金,3010488,31,https://data.cyzone.cn/capital/3010488.html,Fangsheng Fund
龙城英才创业投资引导基金,3016490,31,https://data.cyzone.cn/capital/3016490.html,Dragon City Yingcai Venture Capital Fund
招商局创投,1400436,30,https://data.cyzone.cn/capital/1400436.html,China Merchants Venture Capital
嘉道谷投资,1402053,30,https://data.cyzone.cn/capital/1402053.html,Kadao Valley Investment
中国农发重点建设基金,3008288,30,https://data.cyzone.cn/capital/3008288.html,China Agricultural Development Key Construction Fund
爱奇艺,1131334,30,https://data.cyzone.cn/capital/1131334.html,IQIYI
上投摩根,3018903,30,https://data.cyzone.cn/capital/3018903.html,Shanghai Investment Morgan
中民投,1398761,30,https://data.cyzone.cn/capital/1398761.html,CMIG
愉悦资本,1393693,30,https://data.cyzone.cn/capital/1393693.html,Joy
