investor_id,investor_name,investor_url,occurrences
1393212,深创投,https://data.cyzone.cn/capital/1393212.html,464
1393211,IDG资本,https://data.cyzone.cn/capital/1393211.html,459
1393213,红杉资本中国基金,https://data.cyzone.cn/capital/1393213.html,392
1393333,真格基金,https://data.cyzone.cn/capital/1393333.html,388
1393533,腾讯投资,https://data.cyzone.cn/capital/1393533.html,372
1393268,经纬中国,https://data.cyzone.cn/capital/1393268.html,347
1393234,达晨创投,https://data.cyzone.cn/capital/1393234.html,283
1395357,建设银行,https://data.cyzone.cn/capital/1395357.html,283
3222174,东方富海,https://data.cyzone.cn/capital/3222174.html,239
1393329,创新工场,https://data.cyzone.cn/capital/1393329.html,238
1393398,险峰（K2VC）,https://data.cyzone.cn/capital/1393398.html,231
3107296,中信证券,https://data.cyzone.cn/capital/3107296.html,221
1393679,同创伟业,https://data.cyzone.cn/capital/1393679.html,218
1393598,英诺天使基金,https://data.cyzone.cn/capital/1393598.html,217
1394692,联创永宣,https://data.cyzone.cn/capital/1394692.html,216
1166539,君联资本,https://data.cyzone.cn/capital/1166539.html,214
3210166,天星资本,https://data.cyzone.cn/capital/3210166.html,204
1393577,中科招商,https://data.cyzone.cn/capital/1393577.html,202
3292610,九鼎投资,https://data.cyzone.cn/capital/3292610.html,197
1393349,梅花创投,https://data.cyzone.cn/capital/1393349.html,191
1395545,紫金科创,https://data.cyzone.cn/capital/1395545.html,188
1564704,阿里巴巴,https://data.cyzone.cn/capital/1564704.html,185
1394727,易方达基金,https://data.cyzone.cn/capital/1394727.html,177
1393334,顺为资本,https://data.cyzone.cn/capital/1393334.html,167
1395657,光谷人才基金,https://data.cyzone.cn/capital/1395657.html,163
1393266,赛富投资基金,https://data.cyzone.cn/capital/1393266.html,163
1397861,海通开元,https://data.cyzone.cn/capital/1397861.html,161
1393222,启明创投,https://data.cyzone.cn/capital/1393222.html,158
1405819,京东数科,https://data.cyzone.cn/capital/1405819.html,149
1393348,启赋资本,https://data.cyzone.cn/capital/1393348.html,144
1145589,奇虎360,https://data.cyzone.cn/capital/1145589.html,144
1395888,中路资本,https://data.cyzone.cn/capital/1395888.html,140
1393220,德同资本,https://data.cyzone.cn/capital/1393220.html,139
1393218,北极光创投,https://data.cyzone.cn/capital/1393218.html,139
1393423,天使湾创投,https://data.cyzone.cn/capital/1393423.html,139
1393352,毅达资本,https://data.cyzone.cn/capital/1393352.html,138
1393267,松禾资本,https://data.cyzone.cn/capital/1393267.html,134
1393734,飞马旅,https://data.cyzone.cn/capital/1393734.html,132
1394605,平安创投,https://data.cyzone.cn/capital/1394605.html,128
1393476,青松基金,https://data.cyzone.cn/capital/1393476.html,127
1393539,华映资本,https://data.cyzone.cn/capital/1393539.html,126
1393422,九合创投,https://data.cyzone.cn/capital/1393422.html,124
1393564,新浪微博基金,https://data.cyzone.cn/capital/1393564.html,124
1397109,中国人寿,https://data.cyzone.cn/capital/1397109.html,122
1393344,华创资本,https://data.cyzone.cn/capital/1393344.html,121
1393215,SIG海纳亚洲创投基金,https://data.cyzone.cn/capital/1393215.html,118
1393854,中金公司,https://data.cyzone.cn/capital/1393854.html,117
1393210,软银中国,https://data.cyzone.cn/capital/1393210.html,116
1394859,中科创星,https://data.cyzone.cn/capital/1394859.html,116
1564729,小米科技,https://data.cyzone.cn/capital/1564729.html,114
3118463,国泰君安,https://data.cyzone.cn/capital/3118463.html,114
1153999,星河互联,https://data.cyzone.cn/capital/1153999.html,113
1393358,高榕资本,https://data.cyzone.cn/capital/1393358.html,113
1397168,华泰证券,https://data.cyzone.cn/capital/1397168.html,112
1394008,广发信德,https://data.cyzone.cn/capital/1394008.html,111
1396163,晨兴资本,https://data.cyzone.cn/capital/1396163.html,110
1393342,联想之星,https://data.cyzone.cn/capital/1393342.html,109
1393470,基石资本,https://data.cyzone.cn/capital/1393470.html,107
1397826,东方证券,https://data.cyzone.cn/capital/1397826.html,105
1393226,金沙江创投,https://data.cyzone.cn/capital/1393226.html,105
1393318,赛伯乐投资,https://data.cyzone.cn/capital/1393318.html,104
1394320,和君资本,https://data.cyzone.cn/capital/1394320.html,104
1395402,宁波天使投资引导基金,https://data.cyzone.cn/capital/1395402.html,100
1395970,创东方投资,https://data.cyzone.cn/capital/1395970.html,99
1395652,合力投资,https://data.cyzone.cn/capital/1395652.html,97
1395917,金石投资,https://data.cyzone.cn/capital/1395917.html,97
1393650,天图投资,https://data.cyzone.cn/capital/1393650.html,96
1393343,高瓴资本,https://data.cyzone.cn/capital/1393343.html,96
1394150,普华资本,https://data.cyzone.cn/capital/1394150.html,95
1395187,华盖资本,https://data.cyzone.cn/capital/1395187.html,95
1502982,蚂蚁金服,https://data.cyzone.cn/capital/1502982.html,95
1393216,鼎晖投资,https://data.cyzone.cn/capital/1393216.html,95
1394723,启迪之星,https://data.cyzone.cn/capital/1394723.html,94
1393525,涌铧投资,https://data.cyzone.cn/capital/1393525.html,93
1394665,分享投资,https://data.cyzone.cn/capital/1394665.html,91
1393420,挚信资本,https://data.cyzone.cn/capital/1393420.html,89
1393550,信中利资本,https://data.cyzone.cn/capital/1393550.html,87
1393617,苏河汇,https://data.cyzone.cn/capital/1393617.html,87
1393332,德迅投资,https://data.cyzone.cn/capital/1393332.html,86
1394626,峰瑞资本,https://data.cyzone.cn/capital/1394626.html,86
1407911,浙商创投,https://data.cyzone.cn/capital/1407911.html,85
1393232,GGV纪源资本,https://data.cyzone.cn/capital/1393232.html,85
1393578,朗玛峰创投,https://data.cyzone.cn/capital/1393578.html,84
