investor_name,investor_id_main,investor_id_other_1,investor_id_other_2,total_occurrences,url_main,investor_name_eng
申通快递,1157782,,,8,https://data.cyzone.cn/capital/1157782.html,
比邻创投,3006607,,,8,https://data.cyzone.cn/capital/3006607.html,
信得宝创投,1407905,,,8,https://data.cyzone.cn/capital/1407905.html,
一汽富维,3348044,,,8,https://data.cyzone.cn/capital/3348044.html,
创时信和,1402927,,,8,https://data.cyzone.cn/capital/1402927.html,
和梓资本,1405237,,,8,https://data.cyzone.cn/capital/1405237.html,
美年健康,1512242,1143932.0,,8,https://data.cyzone.cn/capital/1512242.html,
长润资本,3007475,,,8,https://data.cyzone.cn/capital/3007475.html,
方和资本,1395550,,,8,https://data.cyzone.cn/capital/1395550.html,
本草资本,1395173,,,8,https://data.cyzone.cn/capital/1395173.html,
中科物联,3038426,,,8,https://data.cyzone.cn/capital/3038426.html,
上海鑫游投资管理有限公司,1394672,,,8,https://data.cyzone.cn/capital/1394672.html,
国际创投,3536328,,,8,https://data.cyzone.cn/capital/3536328.html,
国鑫投资,1405882,,,8,https://data.cyzone.cn/capital/1405882.html,
狮享家新媒体基金,1395268,,,8,https://data.cyzone.cn/capital/1395268.html,
广汽集团,1155886,,,8,https://data.cyzone.cn/capital/1155886.html,
长沙高新投,1403010,,,8,https://data.cyzone.cn/capital/1403010.html,
财信金控,3006734,,,8,https://data.cyzone.cn/capital/3006734.html,
德诚资本,1395565,,,8,https://data.cyzone.cn/capital/1395565.html,
美盛文化,1394685,,,8,https://data.cyzone.cn/capital/1394685.html,
上海电气,1403723,,,8,https://data.cyzone.cn/capital/1403723.html,
德诺资本,1399607,,,8,https://data.cyzone.cn/capital/1399607.html,
长江电力,1560999,1517358.0,,8,https://data.cyzone.cn/capital/1560999.html,
北京触控科技有限公司,1394128,,,8,https://data.cyzone.cn/capital/1394128.html,
熠美投资,1398279,,,8,https://data.cyzone.cn/capital/1398279.html,
长岭资本,1401410,,,8,https://data.cyzone.cn/capital/1401410.html,
才金资本,1394854,,,8,https://data.cyzone.cn/capital/1394854.html,
西证投资,3020614,,,8,https://data.cyzone.cn/capital/3020614.html,
山东联合,3018664,,,8,https://data.cyzone.cn/capital/3018664.html,
灵狮资本,3016413,,,8,https://data.cyzone.cn/capital/3016413.html,
柏励投资,1403114,,,8,https://data.cyzone.cn/capital/1403114.html,
中车时代高新投资,1404064,,,8,https://data.cyzone.cn/capital/1404064.html,
跨星创投,1394860,,,8,https://data.cyzone.cn/capital/1394860.html,
山东高速,3234631,,,8,https://data.cyzone.cn/capital/3234631.html,
明照资本,1395207,,,8,https://data.cyzone.cn/capital/1395207.html,
银之杰,3243741,,,8,https://data.cyzone.cn/capital/3243741.html,
慧秋投资,1403274,,,8,https://data.cyzone.cn/capital/1403274.html,
铂泉资本,3536075,,,8,https://data.cyzone.cn/capital/3536075.html,
国寿大健康,1400466,,,8,https://data.cyzone.cn/capital/1400466.html,
湖南发展集团,3013168,,,8,https://data.cyzone.cn/capital/3013168.html,
国元直投,3011808,,,8,https://data.cyzone.cn/capital/3011808.html,
人福基金,3018083,,,8,https://data.cyzone.cn/capital/3018083.html,
国投高新,1403111,,,8,https://data.cyzone.cn/capital/1403111.html,
中金前海发展基金,1403214,,,8,https://data.cyzone.cn/capital/1403214.html,
加华资本,1409309,,,8,https://data.cyzone.cn/capital/1409309.html,
达华智能,1397980,,,8,https://data.cyzone.cn/capital/1397980.html,
中国风投,1400510,,,8,https://data.cyzone.cn/capital/1400510.html,
ROOBO智能管家基金,3006233,,,8,https://data.cyzone.cn/capital/3006233.html,
元素资本,1393866,,,8,https://data.cyzone.cn/capital/1393866.html,
绝了基金,1403196,,,8,https://data.cyzone.cn/capital/1403196.html,
广东文投国富股权投资基金管理有限...,1395264,,,8,https://data.cyzone.cn/capital/1395264.html,
明泰资本,3016951,,,8,https://data.cyzone.cn/capital/3016951.html,
凯乐科技,3274653,,,8,https://data.cyzone.cn/capital/3274653.html,
春阳资本,3006934,,,8,https://data.cyzone.cn/capital/3006934.html,
南方资产,3017074,,,8,https://data.cyzone.cn/capital/3017074.html,
慧科资本,1401405,,,8,https://data.cyzone.cn/capital/1401405.html,
闽招基金,3016916,,,8,https://data.cyzone.cn/capital/3016916.html,
广州开发区金控,3011392,,,8,https://data.cyzone.cn/capital/3011392.html,
广州天使投资,1399501,,,8,https://data.cyzone.cn/capital/1399501.html,
锐旗资本,1400685,,,8,https://data.cyzone.cn/capital/1400685.html,
瀚晖投资,3536354,,,8,https://data.cyzone.cn/capital/3536354.html,
粤民投,1402222,,,8,https://data.cyzone.cn/capital/1402222.html,
凯撒旅游,1192742,,,8,https://data.cyzone.cn/capital/1192742.html,
分众传媒,1131776,,,8,https://data.cyzone.cn/capital/1131776.html,
前海鹏晨,3017754,,,8,https://data.cyzone.cn/capital/3017754.html,
洪泰基金,1393434,,,8,https://data.cyzone.cn/capital/1393434.html,
清研陆石投资,3018007,,,8,https://data.cyzone.cn/capital/3018007.html,
网聚资本,1403232,,,8,https://data.cyzone.cn/capital/1403232.html,
桂东电力,3293311,,,8,https://data.cyzone.cn/capital/3293311.html,
星合资本,1399223,,,8,https://data.cyzone.cn/capital/1399223.html,
太和科创,3536692,,,8,https://data.cyzone.cn/capital/3536692.html,
格力电器,1409483,,,8,https://data.cyzone.cn/capital/1409483.html,
太和东方,3019521,,,8,https://data.cyzone.cn/capital/3019521.html,
伯符投资,1402337,,,8,https://data.cyzone.cn/capital/1402337.html,
福田投资,1393582,,,8,https://data.cyzone.cn/capital/1393582.html,
云松投资,3007263,,,8,https://data.cyzone.cn/capital/3007263.html,
阳光融汇资本,1395773,,,8,https://data.cyzone.cn/capital/1395773.html,
厦门弘信云创业股权投资管理合伙企...,1393741,,,8,https://data.cyzone.cn/capital/1393741.html,
华创智业,3013257,,,8,https://data.cyzone.cn/capital/3013257.html,
中南文化,3245666,,,8,https://data.cyzone.cn/capital/3245666.html,
芯动能投资,1403739,,,8,https://data.cyzone.cn/capital/1403739.html,
创金资本,1399964,,,8,https://data.cyzone.cn/capital/1399964.html,
顶商投资,1395593,,,8,https://data.cyzone.cn/capital/1395593.html,
华能资本,3013436,,,8,https://data.cyzone.cn/capital/3013436.html,
聚信发展,3015392,,,8,https://data.cyzone.cn/capital/3015392.html,
沣扬资本,1402539,,,8,https://data.cyzone.cn/capital/1402539.html,
允贻天使,1406953,,,8,https://data.cyzone.cn/capital/1406953.html,
华信投资,3013683,,,8,https://data.cyzone.cn/capital/3013683.html,
瑞普生物,1183436,,,8,https://data.cyzone.cn/capital/1183436.html,
顺鑫农业,3115966,,,8,https://data.cyzone.cn/capital/3115966.html,
宝信软件,3533018,,,8,https://data.cyzone.cn/capital/3533018.html,
中南建设,1399019,,,8,https://data.cyzone.cn/capital/1399019.html,
曦域资本,1395556,,,8,https://data.cyzone.cn/capital/1395556.html,
