event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2015111232698933012388,3269893,飞象豆业,常德飞象豆业股份有限公司,https://data.cyzone.cn/company/3269893.html,1,3012388,3012388,合金汇盈,https://data.cyzone.cn/capital/3012388.html,战略投资,未披露,2015-11-12,"农业,农业加工",240
2015111233116273015096,3311627,石创同盛,北京石创同盛融资担保有限公司,https://data.cyzone.cn/company/3311627.html,1,3015096,3015096,京西资本,https://data.cyzone.cn/capital/3015096.html,战略投资,未披露,2015-11-12,"金融,担保",240
2015111233197811395547,3319781,亲可视,杭州云沣科技有限公司,https://data.cyzone.cn/company/3319781.html,1,1395547,1395547,领汇投资,https://data.cyzone.cn/capital/1395547.html,A轮,250万人民币,2015-11-12,"人工智能,消费级终端硬件,小型智能硬件",240
2015111233275583235993,3327558,清软英泰,中车信息技术有限公司,https://data.cyzone.cn/company/3327558.html,1,3235993,3235993,中国中车,https://data.cyzone.cn/capital/3235993.html,战略投资,未披露,2015-11-12,"人工智能,基础层,数据",239
2015111233348053536674,3334805,东和房地产,广州东和房地产开发有限公司,https://data.cyzone.cn/company/3334805.html,1,3536674,3536674,时代中国,https://data.cyzone.cn/capital/3536674.html,战略投资,未披露,2015-11-12,"传统行业,房产家居,房产开发",239
2015111233495401393833,3349540,易金科技,北京易金科技有限公司,https://data.cyzone.cn/company/3349540.html,1,1393833,1393833,易一天使,https://data.cyzone.cn/capital/1393833.html,天使轮,数百万人民币,2015-11-12,"金融,投资理财",239
2015111232768161394848,3276816,247技术,二四七信息技术（北京）有限公司,https://data.cyzone.cn/company/3276816.html,1,1394848,1394848,星火金融,https://data.cyzone.cn/capital/1394848.html,A轮,3000万人民币,2015-11-12,"企业服务,传统企业服务,广告营销",240
2015111233506771175364,3350677,自由运动科技,苏州自由运动科技有限公司,https://data.cyzone.cn/company/3350677.html,1,1175364,1175364,永安行,https://data.cyzone.cn/capital/1175364.html,战略投资,未披露,2015-11-12,"生活服务,共享经济,共享单车",239
2015111113300821394836,1330082,大账户,杭州聚源金融信息服务有限公司,https://data.cyzone.cn/company/1330082.html,1,1394836,1394836,聚秀资本,https://data.cyzone.cn/capital/1394836.html,天使轮,数百万人民币,2015-11-11,"数据,基础层,人工智能",245
2015111112626629999999,1262662,玩偶大师,青岛玩偶大师文化传播有限公司,https://data.cyzone.cn/company/1262662.html,0,9999999,9999999,未透露,unknown,天使轮,300万人民币,2015-11-11,"文化娱乐,动漫/二次元,动漫制作",246
2015111113298201185961,1329820,搜云科技,湖南搜云网络科技股份有限公司,https://data.cyzone.cn/company/1329820.html,1,1185961,1185961,游族网络,https://data.cyzone.cn/capital/1185961.html,天使轮,数千万人民币,2015-11-11,"文化娱乐,游戏电竞,游戏平台",246
2015111113297969999999,1329796,熊猫中文Pandarin,北京合乙教育科技有限公司,https://data.cyzone.cn/company/1329796.html,0,9999999,9999999,未透露,unknown,天使轮,未披露,2015-11-11,"汉语学习,语言学习,教育培训",246
2015111113113943536354,1311394,农保科技,广州市农保生物科技有限公司,https://data.cyzone.cn/company/1311394.html,2,"3536354,1393211",3536354,"瀚晖投资,IDG资本","https://data.cyzone.cn/capital/3536354.html,https://data.cyzone.cn/capital/1393211.html",B轮,未披露,2015-11-11,电子商务,245
2015111135044421393329,3504442,3D Café,深圳市三维人工智能科技有限公司,https://data.cyzone.cn/company/3504442.html,1,1393329,1393329,创新工场,https://data.cyzone.cn/capital/1393329.html,A轮,未披露,2015-11-11,未透露,245
2015111130973671394692,3097367,头牌科技,上海树谦花智能科技有限公司,https://data.cyzone.cn/company/3097367.html,1,1394692,1394692,联创永宣,https://data.cyzone.cn/capital/1394692.html,种子轮,数百万人民币,2015-11-11,"咨询服务,传统企业服务,企业服务",245
2015111113294881395928,1329488,绝地科技,杭州绝地科技有限公司,https://data.cyzone.cn/company/1329488.html,2,"1395928,1401294",1395928,"东方汇富,联合基金","https://data.cyzone.cn/capital/1395928.html,https://data.cyzone.cn/capital/1401294.html",A轮,数千万人民币,2015-11-11,"文化娱乐,游戏电竞,手游研发",246
