event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2014123132514331395222,3251433,熙洛生物,上海熙洛生物技术有限公司,https://data.cyzone.cn/company/3251433.html,1,1395222,1395222,上海道杰投资有限公司,https://data.cyzone.cn/capital/1395222.html,战略投资,未披露,2014-12-31,"医疗健康,医疗支持服务,医疗解决方案",3
2014123133519543024195,3351954,联科盛世,苏州联科盛世科技有限公司,https://data.cyzone.cn/company/3351954.html,1,3024195,3024195,元禾控股,https://data.cyzone.cn/capital/3024195.html,A轮,未披露,2014-12-31,"物联网,物联网硬件,传感器",2
2014123112627011394612,1262701,成为智能,深圳市成为智能交通系统有限公司,https://data.cyzone.cn/company/1262701.html,3,"1394612,3018534,1401201",1394612,"富德集团,三捷投资,富德集团","https://data.cyzone.cn/capital/1394612.html,https://data.cyzone.cn/capital/3018534.html,https://data.cyzone.cn/capital/1401201.html",A轮,未披露,2014-12-31,"物联网,物联网应用,智慧交通",3
2014123113301731393213,1330173,厚本金融,上海厚本金融信息服务有限公司,https://data.cyzone.cn/company/1330173.html,1,1393213,1393213,红杉资本中国基金,https://data.cyzone.cn/capital/1393213.html,A轮,未披露,2014-12-31,"金融,投资理财",3
2014123132778443014087,3277844,联测科技,江苏联测机电科技股份有限公司,https://data.cyzone.cn/company/3277844.html,1,3014087,3014087,慧眼资本,https://data.cyzone.cn/capital/3014087.html,战略投资,未披露,2014-12-31,"人工智能,场景应用层,AI制造",3
2014123132797629999999,3279762,新澳股份,浙江新澳纺织股份有限公司,https://data.cyzone.cn/company/3279762.html,0,9999999,9999999,未透露,unknown,IPO,4.79亿人民币,2014-12-31,"传统行业,纺织,纺织印染",3
2014123132800343014504,3280034,福华通达,四川省乐山市福华通达农药科技有限公司,https://data.cyzone.cn/company/3280034.html,3,"3014504,3017203,1401901",3014504,"建信财富,农发基金,信达资本","https://data.cyzone.cn/capital/3014504.html,https://data.cyzone.cn/capital/3017203.html,https://data.cyzone.cn/capital/1401901.html",B轮,未披露,2014-12-31,"农业加工,农业",2
2014123133228621184812,3322862,聚锋塑木,南京聚锋新材料有限公司,https://data.cyzone.cn/company/3322862.html,2,"1184812,3017102",1184812,"南京聚隆,南京高新创投","https://data.cyzone.cn/capital/1184812.html,https://data.cyzone.cn/capital/3017102.html",战略投资,未披露,2014-12-31,未透露,2
2014123133301833018565,3330183,雷力生物,北京雷力海洋生物新产业股份有限公司,https://data.cyzone.cn/company/3330183.html,1,3018565,3018565,三山投资,https://data.cyzone.cn/capital/3018565.html,新三板定增,未披露,2014-12-31,"传统行业,制造业,化学化工",2
2014123133311723298927,3331172,太平国际货柜,上海太平国际货柜有限公司,https://data.cyzone.cn/company/3331172.html,1,3298927,3298927,上港集团,https://data.cyzone.cn/capital/3298927.html,战略投资,未披露,2014-12-31,未透露,2
2014123133326241393212,3332624,通世传媒,天津通世文化传媒有限公司公司,https://data.cyzone.cn/company/3332624.html,1,1393212,1393212,深创投,https://data.cyzone.cn/capital/1393212.html,A轮,数千万人民币,2014-12-31,"生活服务,小区服务,智慧小区",2
