event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2011123130723143011820,3072314,绿创环保,北京绿创环保设备股份有限公司,https://data.cyzone.cn/company/3072314.html,1,3011820,3011820,国资管理中心,https://data.cyzone.cn/capital/3011820.html,战略投资,未披露,2011-12-31,"环保工程,环保制造,环保",1
2011123132707101393470,3270710,康欣新材,康欣新材料股份有限公司,https://data.cyzone.cn/company/3270710.html,1,1393470,1393470,基石资本,https://data.cyzone.cn/capital/1393470.html,上市公司定增,数千万人民币,2011-12-31,"能源电力,传统能源,电池",1
2011123130091791393539,3009179,锦和商业,上海锦和商业经营管理股份有限公司,https://data.cyzone.cn/company/3009179.html,2,"1393539,1394605",1393539,"华映资本,平安创投","https://data.cyzone.cn/capital/1393539.html,https://data.cyzone.cn/capital/1394605.html",战略投资,未披露,2011-12-31,"生活服务,小区服务,物业管理",2
2011123130168633177726,3016863,田野股份,田野创新股份有限公司,https://data.cyzone.cn/company/3016863.html,1,3177726,3177726,北京海晏立方创业投资中心（有限合...,https://data.cyzone.cn/capital/3177726.html,A轮,未披露,2011-12-31,未透露,2
2011123130409273009658,3040927,掌上通,北京掌上通网络技术股份有限公司,https://data.cyzone.cn/company/3040927.html,1,3009658,3009658,德骏资本,https://data.cyzone.cn/capital/3009658.html,战略投资,未披露,2011-12-31,"生活服务,O2O,教育O2O",1
2011123113306341393533,1330634,益盟操盘手,益盟股份有限公司,https://data.cyzone.cn/company/1330634.html,1,1393533,1393533,腾讯投资,https://data.cyzone.cn/capital/1393533.html,A轮,3.8亿人民币,2011-12-31,"金融,投资理财,企业服务,传统企业服务,IT服务",1
2011123135363213019151,3536321,硅谷天堂,硅谷天堂资产管理集团股份有限公司,https://data.cyzone.cn/company/3536321.html,1,3019151,3019151,盛达瑞丰,https://data.cyzone.cn/capital/3019151.html,B轮,2亿人民币,2011-12-31,"金融,投资理财",1
2011123112745113536381,1274511,成都银行,成都银行股份有限公司,https://data.cyzone.cn/company/1274511.html,1,3536381,3536381,弘毅投资,https://data.cyzone.cn/capital/3536381.html,战略投资,未披露,2011-12-31,"金融,银行,传统银行",1
2011123133541333028791,3354133,中信国际招标,中信国际招标有限公司,https://data.cyzone.cn/company/3354133.html,1,3028791,3028791,首一创投,https://data.cyzone.cn/capital/3028791.html,战略投资,未披露,2011-12-31,未透露,1
2011123113251723010815,1325172,Belter倍泰健康,深圳市倍泰健康测量分析技术有限公司,https://data.cyzone.cn/company/1325172.html,1,3010815,3010815,复星集团,https://data.cyzone.cn/capital/3010815.html,B轮,数千万人民币,2011-12-31,"医疗健康,医疗器械",1
