event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2010123133360913019438,3336091,四川省有色科技,四川省有色科技集团有限责任公司,https://data.cyzone.cn/company/3336091.html,1,3019438,3019438,四川发展,https://data.cyzone.cn/capital/3019438.html,战略投资,未披露,2010-12-31,"人工智能,场景应用层,AI制造",1
2010123132944209999999,3294420,四方股份,北京四方继保自动化股份有限公司,https://data.cyzone.cn/company/3294420.html,0,9999999,9999999,未透露,unknown,IPO,18.86亿人民币,2010-12-31,"智能制造,智能工厂,工业自动化",1
2010123113204871393216,1320487,景域文化,上海景域文化传播股份有限公司,https://data.cyzone.cn/company/1320487.html,1,1393216,1393216,鼎晖投资,https://data.cyzone.cn/capital/1393216.html,B+轮,6670万人民币,2010-12-31,"旅游,旅游OTA,旅游OTA平台",2
2010123112716309999999,1271630,天顺风能,天顺风能（苏州）股份有限公司,https://data.cyzone.cn/company/1271630.html,0,9999999,9999999,未透露,unknown,IPO,12.95亿人民币,2010-12-31,"智能制造,智能制造装备,电气设备",2
2010123130134471393212,3013447,运维电力,陕西运维电力股份有限公司,https://data.cyzone.cn/company/3013447.html,1,1393212,1393212,深创投,https://data.cyzone.cn/capital/1393212.html,A轮,2000万人民币,2010-12-31,未透露,2
2010123112932391393234,1293239,博济医药,广州博济医药生物技术股份有限公司,https://data.cyzone.cn/company/1293239.html,1,1393234,1393234,达晨创投,https://data.cyzone.cn/capital/1393234.html,A轮,未披露,2010-12-31,"医疗健康,医药服务,药物研发",2
2010123112950079999999,1295007,中关村在线,北京智德典康电子商务有限公司,https://data.cyzone.cn/company/1295007.html,0,9999999,9999999,未透露,unknown,并购,未披露,2010-12-31,内容产业,2
2010123112959883015554,1295988,反正APP,深圳市丁仔网络科技有限公司,https://data.cyzone.cn/company/1295988.html,1,3015554,3015554,君威世纪,https://data.cyzone.cn/capital/3015554.html,天使轮,未披露,2010-12-31,移动互联网,2
2010123112660781393213,1266078,昊宇电气,吉林昊宇电气股份有限公司,https://data.cyzone.cn/company/1266078.html,3,"1393213,1393212,1395808",1393213,"红杉资本中国基金,深创投,如山资本","https://data.cyzone.cn/capital/1393213.html,https://data.cyzone.cn/capital/1393212.html,https://data.cyzone.cn/capital/1395808.html",天使轮,数百万人民币,2010-12-31,硬件,2
2010123113182153023915,1318215,博洛尼,博洛尼家居用品（北京）股份有限公司,https://data.cyzone.cn/company/1318215.html,3,"3023915,3536381,1393273",3023915,"易联资本,弘毅投资,Morgan Stanley摩根...","https://data.cyzone.cn/capital/3023915.html,https://data.cyzone.cn/capital/3536381.html,https://data.cyzone.cn/capital/1393273.html",Pre-A,未披露,2010-12-31,"家装,住,消费",2
2010123130938501393213,3093850,大高阀门,大连大高阀门股份有限公司,https://data.cyzone.cn/company/3093850.html,2,"1393213,1393856",1393213,"红杉资本中国基金,维思资本","https://data.cyzone.cn/capital/1393213.html,https://data.cyzone.cn/capital/1393856.html",天使轮,数百万人民币,2010-12-31,"仪器设备,智能制造装备,智能制造",2
2010123115037821393679,1503782,洲明科技,深圳市洲明科技股份有限公司,https://data.cyzone.cn/company/1503782.html,1,1393679,1393679,同创伟业,https://data.cyzone.cn/capital/1393679.html,B轮,3800万人民币,2010-12-31,"智能制造,智能制造装备,仪器设备",2
