event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2013123133333341402325,3333334,阿尔法特,深圳市阿尔法特网络环境有限公司,https://data.cyzone.cn/company/3333334.html,1,1402325,1402325,深圳高新投,https://data.cyzone.cn/capital/1402325.html,A轮,未披露,2013-12-31,未透露,1
2013123112659193279594,1265919,华安证券,华安证券股份有限公司,https://data.cyzone.cn/company/1265919.html,1,3279594,3279594,皖能电力,https://data.cyzone.cn/capital/3279594.html,Pre-IPO,未披露,2013-12-31,"金融,证券/基金,证券",1
2013123113263231394565,1326323,聚合数据平台,苏州新科兰德科技有限公司,https://data.cyzone.cn/company/1326323.html,1,1394565,1394565,极客帮创投,https://data.cyzone.cn/capital/1394565.html,A轮,1000万人民币,2013-12-31,"移动互联网,企业服务",2
2013123130393949999999,3039394,京联云,北京京联云软件有限公司,https://data.cyzone.cn/company/3039394.html,0,9999999,9999999,未透露,unknown,A轮,未披露,2013-12-31,"大数据,大数据安全,数据安全",2
2013123130522771397861,3052277,中国稀有稀土,中国稀有稀土股份有限公司,https://data.cyzone.cn/company/3052277.html,1,1397861,1397861,海通开元,https://data.cyzone.cn/capital/1397861.html,战略投资,未披露,2013-12-31,"能源电力,矿产资源,稀土",2
2013123113250121393421,1325012,Vigo,Vigo,https://data.cyzone.cn/company/1325012.html,1,1393421,1393421,PreAngel,https://data.cyzone.cn/capital/1393421.html,天使轮,数百万人民币,2013-12-31,"人工智能,消费级终端硬件,小型智能硬件",2
2013123113023561394530,1302356,法宝问答,上海法宝网信息服务有限公司,https://data.cyzone.cn/company/1302356.html,2,"1394530,1393474",1394530,"中国文化产业投资基金,常春藤资本","https://data.cyzone.cn/capital/1394530.html,https://data.cyzone.cn/capital/1393474.html",B轮,1.38亿人民币,2013-12-31,"社区社交,社区,知识社区",2
2013123113258949999999,1325894,快用苹果助手,北京悠然天地科技有限公司,https://data.cyzone.cn/company/1325894.html,0,9999999,9999999,未透露,unknown,B+轮,未披露,2013-12-31,"工具软件,其他工具",2
2013123130643121394565,3064312,聚合数据,天聚地合（苏州）数据股份有限公司,https://data.cyzone.cn/company/3064312.html,1,1394565,1394565,极客帮创投,https://data.cyzone.cn/capital/1394565.html,A轮,1000万人民币,2013-12-31,"大数据,数据服务,数据交易",1
2013123113267761394533,1326776,找钢网,上海找钢网信息科技股份有限公司,https://data.cyzone.cn/company/1326776.html,3,"1394533,1393213,1393268",1394533,"雄牛资本(香港)有限公司,红杉资本中国基金,经纬中国","https://data.cyzone.cn/capital/1394533.html,https://data.cyzone.cn/capital/1393213.html,https://data.cyzone.cn/capital/1393268.html",C轮,3480万美元,2013-12-31,"能源电力,矿产资源,钢铁",1
2013123112927311401928,1292731,亿华通,北京亿华通科技股份有限公司,https://data.cyzone.cn/company/1292731.html,1,1401928,1401928,水木创投,https://data.cyzone.cn/capital/1401928.html,天使轮,未披露,2013-12-31,"能源电力,传统能源,电池",1
2013123113199811393234,1319981,宇信科技,北京宇信科技集团股份有限公司,https://data.cyzone.cn/company/1319981.html,1,1393234,1393234,达晨创投,https://data.cyzone.cn/capital/1393234.html,众筹,未披露,2013-12-31,"企业服务,传统企业服务,IT服务",1
2013123131083413292610,3108341,新疆火炬,新疆火炬燃气股份有限公司,https://data.cyzone.cn/company/3108341.html,1,3292610,3292610,九鼎投资,https://data.cyzone.cn/capital/3292610.html,战略投资,5000万人民币,2013-12-31,"能源发电,能源服务,能源电力",1
2013123132245571393564,3224557,微联播科技,常州微联播信息科技有限公司,https://data.cyzone.cn/company/3224557.html,1,1393564,1393564,新浪微博基金,https://data.cyzone.cn/capital/1393564.html,种子轮,未披露,2013-12-31,"管理系统,SAAS,企业服务",1
2013123133124611395782,3312461,中棉种业,中棉种业科技股份有限公司,https://data.cyzone.cn/company/3312461.html,1,1395782,1395782,龙磐投资,https://data.cyzone.cn/capital/1395782.html,股权转让,未披露,2013-12-31,"农业,农业加工",1
