event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2019123130146809999999,3014680,中科水生,武汉中科水生环境工程股份有限公司,https://data.cyzone.cn/company/3014680.html,0,9999999,9999999,未透露,unknown,新三板定增,7668万人民币,2019-12-31,"环保,污染治理,污水处理",1
2019123115173631394832,1517363,宿迁联盛集团,宿迁联盛科技股份有限公司,https://data.cyzone.cn/company/1517363.html,1,1394832,1394832,方源资本,https://data.cyzone.cn/capital/1394832.html,B轮,超2亿人民币,2019-12-31,"化学化工,制造业,传统行业",1
2019123115173571517358,1517357,华电金沙,云南华电金沙江中游水电开发有限公司,https://data.cyzone.cn/company/1517357.html,1,1517358,1517358,长江电力,https://data.cyzone.cn/capital/1517358.html,战略投资,未透露,2019-12-31,"能源电力,能源服务,能源发电",2
2019123112760343020667,1276034,纳米维景,北京纳米维景科技有限公司,https://data.cyzone.cn/company/1276034.html,1,3020667,3020667,夏尔巴投资,https://data.cyzone.cn/capital/3020667.html,B轮,1.6亿人民币,2019-12-31,"医疗健康,医疗器械",2
2019123112727841401643,1272784,厨芯,北京红岸水滴科技发展有限公司,https://data.cyzone.cn/company/1272784.html,2,"1401643,1394320",1401643,"蓝图创投,和君资本","https://data.cyzone.cn/capital/1401643.html,https://data.cyzone.cn/capital/1394320.html",B轮,超2.3亿人民币,2019-12-31,"人工智能,场景应用层,智能家居",2
2019123112696039999999,1269603,精位科技,成都精位科技有限公司,https://data.cyzone.cn/company/1269603.html,0,9999999,9999999,未透露,unknown,A轮,数千万人民币,2019-12-31,"人工智能,消费级终端硬件,小型智能硬件",1
2019123115173831405195,1517383,伯坦科技,杭州伯坦科技工程有限公司,https://data.cyzone.cn/company/1517383.html,1,1405195,1405195,云和资本,https://data.cyzone.cn/capital/1405195.html,B轮,未披露,2019-12-31,"汽车交通,汽车制造,新能源汽车",1
2019123115020251402873,1502025,脉流科技,杭州脉流科技有限公司,https://data.cyzone.cn/company/1502025.html,1,1402873,1402873,国药资本,https://data.cyzone.cn/capital/1402873.html,A+轮,数千万人民币,2019-12-31,"医疗健康,医疗信息化,精准医疗",1
2019123113286031398245,1328603,凌宇智控,北京凌宇智控科技有限公司,https://data.cyzone.cn/company/1328603.html,1,1398245,1398245,中移创新产业基金,https://data.cyzone.cn/capital/1398245.html,战略投资,未披露,2019-12-31,"ARVR,硬件",1
2019123136106649999999,3610664,危司机,杭州为为科技有限公司,https://data.cyzone.cn/company/3610664.html,0,9999999,9999999,未透露,unknown,天使轮,未披露,2019-12-31,"物流仓储,智慧物流,物流信息化",1
2019123115173721564729,1517372,吉德电器,宁波吉德电器有限公司,https://data.cyzone.cn/company/1517372.html,1,1564729,1564729,小米科技,https://data.cyzone.cn/capital/1564729.html,战略投资,未披露,2019-12-31,"传统行业,制造业,轻工制造",1
2019123113277931401323,1327793,码上配,小码大众（北京）技术有限公司,https://data.cyzone.cn/company/1327793.html,1,1401323,1401323,音飞储存,https://data.cyzone.cn/capital/1401323.html,战略投资,未披露,2019-12-31,"物流仓储,物流运输,冷链物流",1
2019123113257531395446,1325753,迈吉客科技,迈吉客科技（北京）有限公司,https://data.cyzone.cn/company/1325753.html,1,1395446,1395446,博将资本,https://data.cyzone.cn/capital/1395446.html,B轮,数千万人民币,2019-12-31,"VR/AR,VR/AR支撑软件（技术层）,VR/AR软件",1
2019123113258339999999,1325833,柔宇科技,深圳市柔宇科技有限公司,https://data.cyzone.cn/company/1325833.html,0,9999999,9999999,未透露,unknown,F轮,3亿美元,2019-12-31,"硬件,物联网基础硬件,传感器",1
2019123130677333014050,3067733,美设国际,上海美设国际货运有限公司,https://data.cyzone.cn/company/3067733.html,1,3014050,3014050,惠阳资产,https://data.cyzone.cn/capital/3014050.html,战略投资,未披露,2019-12-31,"物流仓储,物流运输,综合物流",1
2019123136073709999999,3607370,神驰机电,神驰机电股份有限公司,https://data.cyzone.cn/company/3607370.html,0,9999999,9999999,未透露,unknown,IPO,6.74亿人民币,2019-12-31,"智能制造,智能制造装备,电气设备",1
2019123112794613608470,1279461,小黄人工业互联,西安小黄人工业互联信息科技有限公司,https://data.cyzone.cn/company/1279461.html,2,"3608470,3608471",3608470,"金控集团,荣丰控制","https://data.cyzone.cn/capital/3608470.html,https://data.cyzone.cn/capital/3608471.html",Pre-A,3000万人民币,2019-12-31,"智能制造,智能工厂,工业信息化",1
2019123132590221393234,3259022,恒力华振,武汉恒力华振科技有限公司,https://data.cyzone.cn/company/3259022.html,2,"1393234,1395207",1393234,"达晨创投,明照资本","https://data.cyzone.cn/capital/1393234.html,https://data.cyzone.cn/capital/1395207.html",Pre-A,1000万人民币,2019-12-31,"大数据,数据服务,数据采集",1
2019123012811691393343,1281169,粒界科技,粒界（上海）信息科技有限公司,https://data.cyzone.cn/company/1281169.html,2,"1393343,1393345",1393343,"高瓴资本,线性资本","https://data.cyzone.cn/capital/1393343.html,https://data.cyzone.cn/capital/1393345.html",A+轮,数千万美元,2019-12-30,"人工智能,基础技术层,计算机视觉",3
2019123012745861393504,1274586,星闪世图,北京星闪世图科技有限公司,https://data.cyzone.cn/company/1274586.html,1,1393504,1393504,澳银资本,https://data.cyzone.cn/capital/1393504.html,A+轮,数千万人民币,2019-12-30,"人工智能,基础层,数据",3
2019123012758629999999,1275862,亮啦数据,亮啦（上海）数据科技有限公司,https://data.cyzone.cn/company/1275862.html,0,9999999,9999999,未透露,unknown,A+轮,数千万人民币,2019-12-30,"人工智能,基础层,数据",3
2019123012918691395430,1291869,昂立STEM,上海立爱教育科技有限公司,https://data.cyzone.cn/company/1291869.html,2,"1395430,3028737",1395430,"一村资本,南风中国","https://data.cyzone.cn/capital/1395430.html,https://data.cyzone.cn/capital/3028737.html",B轮,数千万人民币,2019-12-30,"创客教育,创业服务,企业服务",3
2019123015173091393352,1517309,优利德,优利德科技（中国）股份有限公司,https://data.cyzone.cn/company/1517309.html,1,1393352,1393352,毅达资本,https://data.cyzone.cn/capital/1393352.html,A轮,未透露,2019-12-30,"智能制造,智能制造装备,仪器设备",3
2019123015173041401235,1517304,绿城服务,绿城物业服务集团,https://data.cyzone.cn/company/1517304.html,1,1401235,1401235,龙湖资本,https://data.cyzone.cn/capital/1401235.html,战略投资,9.64亿人民币,2019-12-30,"生活服务,小区服务,物业管理",3
2019123015173121394150,1517312,星云互联,北京星云互联科技有限公司,https://data.cyzone.cn/company/1517312.html,2,"1394150,3007647",1394150,"普华资本,浙民投","https://data.cyzone.cn/capital/1394150.html,https://data.cyzone.cn/capital/3007647.html",A轮,未披露,2019-12-30,"人工智能,场景应用层,AI交通",3
2019123012748901403291,1274890,集思学院,北京集思互联教育科技有限公司,https://data.cyzone.cn/company/1274890.html,1,1403291,1403291,泊富基金,https://data.cyzone.cn/capital/1403291.html,B轮,数千万人民币,2019-12-30,"教育培训,教育综合服务,直播",3
2019123015173401403910,1517340,霄云信息,上海霄云信息科技有限公司,https://data.cyzone.cn/company/1517340.html,2,"1403910,1400735",1403910,"思科瑞新资本,紫竹小苗基金","https://data.cyzone.cn/capital/1403910.html,https://data.cyzone.cn/capital/1400735.html",A轮,千万级人民币,2019-12-30,"企业服务,云服务,云存储",3
2019123015172901517291,1517290,渡客猎头,北京渡客猎头数据科技有限公司,https://data.cyzone.cn/company/1517290.html,1,1517291,1517291,北京和伙人信息科技有限公司,https://data.cyzone.cn/capital/1517291.html,Pre-A,1亿人民币,2019-12-30,"企业服务,传统企业服务,人力资源",3
2019123015173431400737,1517343,大旗软件,成都中科大旗软件有限公司,https://data.cyzone.cn/company/1517343.html,1,1400737,1400737,四川文化产业股权投资基金,https://data.cyzone.cn/capital/1400737.html,A+轮,4000万人民币,2019-12-30,"企业服务,SAAS,垂直saas,旅游,其他旅游服务,旅游信息化",3
2019123012908729999999,1290872,龙软科技,北京龙软科技股份有限公司,https://data.cyzone.cn/company/1290872.html,0,9999999,9999999,未透露,unknown,IPO,未透露,2019-12-30,"信息通信,通信软件",2
2019123015173001393267,1517300,唯公科技,深圳唯公科技有限公司,https://data.cyzone.cn/company/1517300.html,2,"1393267,1402702",1393267,"松禾资本,合创资本","https://data.cyzone.cn/capital/1393267.html,https://data.cyzone.cn/capital/1402702.html",A轮,数千万人民币,2019-12-30,"医疗器械,医疗健康",2
2019123015172161393234,1517216,安帝科技,深圳市安帝科技有限公司,https://data.cyzone.cn/company/1517216.html,1,1393234,1393234,达晨创投,https://data.cyzone.cn/capital/1393234.html,战略投资,千万级人民币,2019-12-30,"企业服务,企业安全,信息安全",2
2019123035393723296322,3539372,金盛热力,开封市金盛热力有限公司,https://data.cyzone.cn/company/3539372.html,1,3296322,3296322,GQY视讯,https://data.cyzone.cn/capital/3296322.html,并购,未披露,2019-12-30,"传统行业,能源,热力供应",2
2019123036074309999999,3607430,铂科新材,深圳市铂科新材料股份有限公司,https://data.cyzone.cn/company/3607430.html,0,9999999,9999999,未透露,unknown,IPO,3.78亿人民币,2019-12-30,"材料,新材料",2
2019123015612189999999,1561218,抖山短视频,北京抖手科技有限公司,https://data.cyzone.cn/company/1561218.html,0,9999999,9999999,未透露,unknown,种子轮,800万人民币,2019-12-30,"消费,娱乐",2
2019123031212759999999,3121275,绿联软件,上海绿联软件股份有限公司,https://data.cyzone.cn/company/3121275.html,0,9999999,9999999,未透露,unknown,新三板定增,300万人民币,2019-12-30,"咨询服务,传统企业服务,企业服务",2
2019123015612183539983,1561218,抖山短视频,北京抖手科技有限公司,https://data.cyzone.cn/company/1561218.html,1,3539983,3539983,个人投资者,https://data.cyzone.cn/capital/3539983.html,种子轮,800万人民币,2019-12-30,"消费,娱乐",2
2019123013249959999999,1324995,Molbase摩贝,上海摩库数据技术有限公司,https://data.cyzone.cn/company/1324995.html,0,9999999,9999999,未透露,unknown,IPO,未披露,2019-12-30,电子商务,2
2019123036196743619677,3619674,紫羚云,上海速擎软件有限公司,https://data.cyzone.cn/company/3619674.html,1,3619677,3619677,华君资产,https://data.cyzone.cn/capital/3619677.html,Pre-A,数千万人民币,2019-12-30,"企业服务,传统企业服务,IT服务",2
2019123015172181394150,1517218,泰矽微,上海泰矽微电子有限公司,https://data.cyzone.cn/company/1517218.html,1,1394150,1394150,普华资本,https://data.cyzone.cn/capital/1394150.html,天使轮,数千万人民币,2019-12-30,"物联网,物联网硬件,物联网芯片",2
2019123015172251395890,1517225,小满茶田,北京新火新搽网络科技有限公司,https://data.cyzone.cn/company/1517225.html,3,"1395890,1393398,1517228",1395890,"贝塔斯曼亚洲投资基金,险峰（K2VC）,尚承嘉寻","https://data.cyzone.cn/capital/1395890.html,https://data.cyzone.cn/capital/1393398.html,https://data.cyzone.cn/capital/1517228.html",天使轮,数百万美元,2019-12-30,"消费,食,咖啡茶饮品牌",2
2019123012629861395544,1262986,袋鼠云/玳数科技,杭州玳数科技有限公司,https://data.cyzone.cn/company/1262986.html,3,"1395544,1393212,1517287",1395544,"国投集团,深创投,杭州金投","https://data.cyzone.cn/capital/1395544.html,https://data.cyzone.cn/capital/1393212.html,https://data.cyzone.cn/capital/1517287.html",B轮,亿人民币,2019-12-30,"企业服务,云服务,云计算",3
